x,y,z
0.0,3.646,81.005
-2.109,4.154,83.675
-1.657,4.805,84.54
-1.617,5.184,85.039
-2.052,5.389,85.169
-2.146,5.394,85.169
-2.956,5.198,84.245
-3.392,4.946,83.97
-3.818,4.587,83.317
-4.137,4.227,82.492
-4.388,3.735,81.855
-4.426,3.017,81.501
-4.532,2.393,81.437
-4.537,2.31,81.474
-4.451,1.315,81.532
-4.151,1.138,81.553
-3.711,0.987,81.661
-3.588,0.631,81.841
-3.415,0.224,82.021
-3.495,0.032,82.331
-3.494,-0.142,82.431
-3.978,-0.221,82.739
-4.435,-0.305,82.903
-4.813,-0.616,83.208
-4.886,-1.053,83.538
-5.59,-1.459,83.842
-6.018,-1.801,84.204
-6.506,-2.081,84.786
-6.969,-2.318,84.983
-7.315,-2.474,85.172
-7.659,-2.738,85.251
-8.076,-3.024,85.425
-8.256,-3.064,85.438
-8.308,-2.81,85.375
-8.016,-2.372,85.334
-7.583,-1.868,85.399
-7.204,-1.549,85.575
-7.159,-1.177,85.651
-6.982,-0.737,85.72
-7.09,-0.4,85.88
-7.386,-0.025,86.134
-7.63,0.23,86.198
-7.903,0.761,86.171
-7.81,1.109,86.307
-7.546,1.452,86.33
-7.522,1.785,86.65
-6.762,2.062,86.973
-6.467,2.359,87.301
-6.114,2.629,87.41
-5.917,3.006,87.519
-5.897,3.367,87.514
-5.797,3.748,87.411
-5.866,4.113,87.496
-5.911,4.387,87.479
-5.968,4.563,87.357
-5.85,4.543,87.561
-5.828,4.351,87.884
-6.105,4.051,88.202
-6.7,3.948,88.376
-7.227,3.954,88.434
-7.455,3.881,88.674
-7.463,3.973,88.858
-7.896,4.083,88.93
-8.304,3.809,89.203
-8.381,3.415,89.287
-8.63,3.068,89.128
-8.522,2.695,88.936
-8.459,2.287,88.947
-8.46,1.905,89.103
-8.603,1.443,89.105
-8.748,1.072,89.004
-8.855,0.663,89.012
-8.855,0.663,88.921
-8.841,-0.306,88.737
-7.979,-0.649,88.789
-7.492,-0.776,88.687
-6.934,-0.804,88.782
-6.832,-0.6,88.647
-5.722,-0.386,88.583
-5.264,-0.183,88.482
-4.774,-0.02,88.595
-4.339,0.279,88.632
-4.081,0.563,88.796
-4.06,0.809,88.997
-4.235,0.882,89.339
-4.454,0.631,89.469
-4.559,0.194,89.494
-4.544,-0.458,89.599
-4.408,-1.219,89.53
-4.406,-1.973,89.47
-4.387,-2.667,89.608
-4.405,-3.312,89.875
-4.468,-4.019,89.754
-4.552,-4.674,89.675
-4.587,-5.221,89.689
-4.563,-5.651,89.708
-4.565,-6.025,89.669
-4.51,-6.401,89.81
-4.551,-6.564,89.875
-4.593,-6.447,90.007
-4.901,-6.036,89.844
-4.89,-5.653,89.614
-4.693,-5.297,89.534
-4.293,-4.847,89.553
-4.164,-4.366,89.513
-4.206,-3.895,89.56
-4.388,-3.426,89.668
-4.607,-2.922,89.746
-4.652,-2.535,89.783
-5.09,-2.191,89.812
-5.112,-1.925,89.851
-5.731,-1.803,89.755
-5.799,-1.846,89.672
-6.111,-2.025,89.526
-6.316,-2.426,89.409
-6.386,-2.935,89.153
-6.444,-3.373,88.943
-6.586,-3.767,88.609
-6.771,-4.102,88.622
-7.124,-4.288,88.633
-7.391,-4.294,88.53
-7.572,-4.303,88.365
-7.85,-4.097,88.133
-8.121,-4.011,87.863
-8.252,-4.157,87.603
-8.222,-4.519,87.452
-7.905,-4.674,87.31
-7.53,-4.545,87.568
-7.16,-4.318,87.634
-6.898,-4.06,87.63
-6.584,-3.696,87.762
-6.5,-3.453,88.045
-6.529,-3.262,88.386
-6.689,-3.102,88.426
-6.871,-3.044,88.556
-7.145,-3.098,88.651
-7.51,-3.289,88.703
-7.731,-3.509,88.659
-7.862,-3.85,88.687
-8.039,-4.125,88.75
-7.575,-3.999,88.979
-6.987,-3.872,89.215
-6.559,-3.791,89.59
-6.2,-3.643,89.77
-6.145,-3.622,90.043
-5.554,-2.91,90.181
-5.534,-2.91,90.203
-5.313,-2.318,90.478
-5.322,-2.165,90.976
-5.359,-2.028,91.313
-5.694,-2.13,91.45
-6.072,-2.292,91.444
-6.071,-2.306,91.248
-5.801,-2.806,90.876
-5.4,-3.089,90.133
-5.085,-3.297,89.967
-4.766,-3.425,89.82
-4.318,-3.276,89.586
-3.93,-3.389,89.403
-3.916,-3.766,89.431
-4.191,-4.174,89.6
-4.584,-4.443,90.022
-4.968,-4.487,90.158
-5.287,-4.484,90.532
-5.643,-4.531,90.427
-5.95,-4.473,90.516
-6.264,-4.424,90.587
-6.689,-4.381,90.72
-7.008,-4.303,90.851
-7.291,-4.073,90.741
-7.492,-3.775,90.739
-7.682,-3.488,90.467
-8.059,-3.254,90.305
-8.392,-3.257,89.936
-8.489,-3.448,89.836
-8.341,-3.896,90.011
-8.094,-4.333,90.03
-7.742,-4.578,90.177
-7.363,-4.733,90.284
-6.982,-4.757,90.592
-6.575,-4.987,90.86
-6.305,-5.249,91.087
-6.385,-5.522,91.036
-6.68,-5.742,91.023
-6.928,-5.768,90.797
-7.237,-5.62,90.806
-7.542,-5.411,90.524
-7.791,-5.232,90.476
-8.187,-4.772,90.32
-8.371,-4.327,90.205
-8.41,-3.937,90.24
-8.503,-3.468,90.274
-8.598,-2.995,90.454
-8.665,-2.618,90.584
-8.682,-2.186,90.687
-8.68,-1.756,90.48
-8.594,-1.35,90.36
-8.559,-0.995,90.173
-8.554,-0.97,90.015
-8.719,-0.237,89.787
-8.712,0.028,89.649
-8.461,0.302,89.403
-8.228,0.522,89.359
-8.147,0.291,89.599
-8.212,-0.219,89.624
-8.279,-0.526,89.551
-8.284,-0.792,89.327
-8.756,-1.192,89.105
-8.948,-1.614,89.02
-8.962,-2.035,88.955
-9.162,-2.655,89.024
-9.278,-3.209,89.216
-9.372,-3.663,89.473
-9.445,-4.069,89.654
-9.173,-4.455,89.762
-8.664,-4.834,89.963
-8.241,-4.94,90.083
-8.185,-4.897,90.409
-7.828,-4.818,90.631
-7.412,-4.705,90.554
-6.723,-4.319,90.71
-6.438,-3.921,90.993
-6.486,-3.48,91.116
-6.74,-3.065,91.132
-6.946,-2.777,91.055
-7.197,-2.517,90.953
-7.571,-2.284,90.635
-8.105,-2.087,90.561
-8.53,-1.908,90.223
-8.971,-1.689,90.092
-9.499,-1.494,90.036
-9.84,-1.315,89.905
-9.986,-1.18,89.866
-10.034,-0.908,89.719
-9.762,-0.898,89.468
-9.706,-1.054,89.487
-9.103,-1.366,89.527
-8.795,-1.758,89.547
-8.779,-2.086,89.489
-8.521,-2.236,89.494
-8.275,-2.422,89.581
-7.952,-2.407,89.633
-7.904,-2.19,89.447
-7.243,-2.19,89.481
-7.192,-2.337,89.479
-6.859,-2.663,89.201
-6.97,-3.052,89.029
-7.15,-3.542,89.053
-7.179,-3.982,89.282
-6.941,-4.36,89.333
-6.585,-4.471,89.327
-6.222,-4.486,89.445
-5.803,-4.418,89.512
-5.373,-4.277,89.76
-4.954,-4.002,90.269
-4.874,-3.716,90.794
-5.061,-3.428,90.747
-5.291,-3.324,90.579
