x,y,z
-3.865,-2.776,92.341
-3.928,-3.28,93.247
-4.964,-3.489,93.337
-5.46,-3.501,92.997
-6.371,-3.841,93.031
-6.792,-3.848,95.732
-6.849,-3.842,93.53
-7.336,-3.609,92.255
-7.351,-3.43,90.493
-7.53,-3.428,90.493
-7.734,-3.039,87.963
-7.733,-2.773,87.205
-7.475,-2.739,87.009
-7.141,-2.906,86.986
-7.141,-2.906,86.986
-7.141,-2.906,86.986
-7.141,-3.925,86.66
-6.45,-4.337,86.667
-6.437,-4.708,86.899
-5.938,-5.089,87.185
-5.537,-5.541,87.553
-5.226,-5.998,87.657
-4.931,-6.324,87.755
-4.877,-6.351,87.752
-4.14,-6.729,87.84
-3.744,-6.83,87.86
-3.682,-6.95,87.868
-3.207,-7.039,88.074
-3.165,-7.148,87.864
-3.287,-7.144,88.037
-3.347,-7.117,88.2
-3.896,-7.054,88.28
-4.233,-6.881,88.358
-4.303,-6.666,88.378
-4.657,-6.475,88.589
-4.781,-6.124,88.579
-4.843,-5.87,88.44
-4.84,-5.835,88.347
-4.666,-5.267,88.53
-4.66,-4.911,88.706
-4.814,-4.417,88.78
-4.837,-3.951,88.867
-5.035,-3.59,89.108
-5.062,-3.198,89.25
-5.422,-2.857,89.449
-5.798,-2.684,89.67
-6.063,-2.796,89.569
-6.107,-3.008,89.185
-6.102,-3.058,89.184
-6.264,-3.857,88.986
-6.315,-4.136,89.276
-6.317,-4.445,89.591
-6.228,-4.859,89.617
-6.214,-4.892,89.617
-6.218,-5.5,89.715
-5.974,-5.919,89.551
-5.916,-6.08,89.617
-5.316,-6.236,89.532
-4.975,-6.297,89.765
-4.528,-6.378,89.802
-4.229,-6.462,89.822
-4.109,-6.597,89.511
-4.335,-6.633,89.46
-4.378,-6.629,89.402
-4.612,-6.555,89.402
-4.612,-6.555,89.402
-4.936,-5.98,89.639
-4.688,-5.738,89.496
-4.642,-5.743,89.578
-4.445,-5.836,89.71
-4.452,-6.138,89.68
-4.609,-6.38,89.82
-4.614,-6.38,89.926
-4.67,-6.306,89.885
-4.77,-6.2,89.775
-4.795,-6.142,89.788
-5.042,-6.076,89.801
-5.191,-6.017,89.83
