x,y,z
-1.877,-7.841,105.351
-3.214,-7.704,107.785
-4.744,-7.38,105.029
-6.175,-7.496,98.092
-7.305,-7.533,91.473
-8.358,-7.3,86.294
-8.542,-7.422,83.078
-8.676,-7.144,82.399
-8.814,-6.773,82.378
-8.748,-6.466,83.12
-8.213,-6.306,84.383
-7.615,-6.801,85.867
-7.248,-7.486,87.28
-6.955,-7.964,88.865
-6.662,-8.577,90.195
-6.605,-8.618,91.546
-5.548,-10.404,92.755
-4.878,-10.97,93.411
-3.868,-11.757,94.295
-2.83,-12.326,94.336
-2.001,-12.49,94.731
-1.403,-12.656,95.363
-1.01,-12.77,95.795
-0.885,-12.827,96.29
-1.084,-12.802,96.771
-1.497,-13.092,97.478
-2.048,-13.52,98.106
-2.946,-13.787,98.661
-3.67,-13.832,99.278
-4.495,-13.834,99.467
-5.576,-13.813,99.142
-6.299,-13.769,98.864
-6.914,-13.698,97.499
-7.619,-13.521,95.436
-8.143,-13.25,94.832
-8.518,-12.489,94.93
-8.674,-11.639,95.266
-8.791,-11.175,95.624
-8.805,-10.343,96.113
-8.763,-9.184,96.434
-8.548,-8.397,96.885
-8.239,-7.621,96.883
-8.207,-7.621,96.883
-8.025,-5.741,95.929
-8.058,-4.876,95.221
-8.127,-4.362,94.176
-8.248,-3.806,93.444
-8.546,-3.281,92.811
-9.001,-2.904,92.484
-9.56,-2.736,92.447
-10.015,-2.721,92.492
-10.28,-2.813,92.204
-10.44,-3.24,91.124
-10.417,-3.867,90.044
-10.42,-4.474,89.516
-10.432,-5.137,89.247
-10.387,-6.033,88.897
-10.377,-6.105,88.897
-10.377,-6.105,88.897
-10.377,-6.105,88.897
-10.377,-8.344,89.07
-9.366,-8.523,88.826
-9.298,-8.535,88.826
-9.298,-8.535,88.826
-9.298,-8.535,88.826
-7.99,-7.381,87.342
-7.834,-6.911,87.262
-7.574,-6.542,87.342
-7.087,-6.323,87.444
-6.711,-6.181,87.404
-6.386,-6.021,87.061
-6.039,-5.717,86.82
-5.826,-5.678,86.725
-5.764,-5.726,86.752
-5.745,-5.861,86.958
-5.693,-6.173,86.888
-5.585,-6.505,86.924
-5.316,-6.938,86.764
-5.184,-6.991,87.064
-5.264,-6.922,86.992
-5.468,-6.596,87.142
-5.631,-6.371,87.413
-5.953,-6.131,87.528
-6.345,-5.895,87.464
-6.725,-5.617,87.487
-6.973,-5.381,87.867
-7.368,-5.114,87.905
-7.436,-4.743,87.879
-8.001,-4.256,87.771
-8.209,-3.546,87.936
-8.434,-2.902,87.51
-8.571,-2.177,87.57
-8.712,-1.22,87.888
-8.949,-0.55,88.27
-9.201,0.025,88.485
-9.623,0.43,88.717
-10.188,0.52,88.876
