x,y,z
-6.838,1.819,89.475
-7.039,2.117,89.794
-7.144,2.461,89.854
-7.195,2.725,89.757
-7.303,2.934,89.667
-7.515,3.084,89.721
-7.648,3.242,89.626
-7.837,3.501,89.608
-7.809,3.865,89.539
-7.574,4.073,89.492
-7.173,4.073,89.307
-6.903,4.039,89.535
-6.634,4.122,89.86
-6.451,4.171,90.124
-6.434,4.496,90.602
-6.605,4.776,90.775
-6.863,4.772,90.723
-7.089,4.78,90.643
-7.314,4.959,90.559
-7.48,5.221,90.389
-7.587,5.43,90.088
-7.609,5.698,89.475
-7.541,5.911,89.206
-7.474,6.097,89.561
-7.427,6.101,90.26
-7.417,5.942,90.217
-7.374,5.697,89.928
-7.28,5.298,89.752
-7.166,4.904,89.672
-7.002,4.516,89.282
-6.791,4.088,89.381
-6.685,3.711,89.414
-6.669,3.396,89.432
-6.648,3.077,89.903
-6.978,2.717,90.058
-7.231,2.628,89.892
-7.248,2.798,89.694
-7.595,3.041,89.339
-7.573,3.357,88.941
-7.603,3.657,88.971
-7.809,3.766,88.684
-8.16,3.841,88.801
-8.542,3.816,88.773
-8.626,3.775,88.684
-9.143,3.776,87.921
-9.422,3.683,87.309
-9.692,3.515,87.091
-9.979,3.229,87.247
-10.069,2.817,87.289
-10.001,2.543,87.411
-9.75,2.261,87.394
-9.408,2.374,87.475
-9.19,2.577,87.711
-9.371,2.719,87.758
-9.778,2.979,88.115
-10.11,3.089,88.025
-10.391,3.203,87.971
-10.736,3.335,87.893
-11.04,3.415,87.78
-11.215,3.35,88.023
-11.245,3.029,88.108
-11.233,2.639,88.252
-11.14,2.284,88.178
-11.025,2.011,88.452
-10.86,1.713,88.492
-10.755,1.41,88.689
-10.616,1.055,88.696
-10.906,0.774,88.716
-11.266,0.676,88.615
-11.725,0.289,88.718
-12.106,-0.168,88.553
-12.335,-0.836,88.548
-12.338,-1.936,88.336
-12.289,-2.785,88.352
-12.268,-3.809,88.159
-12.26,-3.809,88.224
-11.719,-5.474,88.479
-11.356,-6.049,88.595
-10.56,-6.827,88.763
-9.97,-7.127,89.26
-9.563,-7.365,89.525
-8.88,-7.577,89.561
-8.189,-7.598,89.393
-7.567,-7.574,88.912
-7.224,-7.437,88.717
-7.176,-7.069,88.08
-7.425,-6.8,87.691
-7.716,-6.836,87.336
-8.097,-6.853,87.33
-8.522,-6.742,87.262
-9.002,-6.569,87.071
-9.541,-6.341,86.878
-10.252,-6.157,86.721
-11.093,-5.951,86.864
-11.733,-5.823,86.886
-12.149,-5.69,86.719
-12.646,-5.349,86.662
-13.051,-4.956,86.916
-13.394,-4.716,86.88
-13.808,-4.461,87.104
-14.193,-4.147,87.319
-14.562,-3.697,87.737
-14.701,-3.315,88.024
-14.81,-2.94,87.952
-14.959,-2.412,87.728
-15.043,-2.105,87.988
-15.109,-1.784,88.029
-15.012,-1.221,88.317
-14.843,-0.8,88.495
-14.663,-0.537,88.443
-14.144,-0.307,88.564
-13.695,-0.511,88.339
-13.396,-0.946,88.293
-13.161,-1.43,88.106
-12.836,-1.863,88.089
-12.57,-2.326,87.945
-12.23,-2.706,87.722
-11.729,-2.899,87.748
-11.179,-2.983,87.702
-10.547,-3.058,88.128
-10.124,-3.091,88.882
-9.717,-3.039,89.219
-9.236,-2.872,89.883
-8.922,-2.676,90.703
