x,y,z
-5.219,-9.588,90.185
-5.509,-9.578,90.001
-5.825,-9.667,89.929
-6.129,-9.717,89.959
-6.286,-9.973,89.903
-6.403,-10.546,89.997
-6.489,-11.326,90.133
-6.479,-12.083,90.143
-6.459,-12.543,90.162
-6.363,-13.011,89.998
-6.177,-13.489,89.733
-6.002,-13.789,89.38
-5.655,-13.789,89.114
-5.1,-13.215,89.011
-4.749,-12.603,88.926
-4.279,-12.211,88.83
-3.694,-11.602,88.778
-3.567,-11.18,88.882
-2.535,-10.682,89.078
-2.195,-9.742,89.473
-2.072,-8.462,89.536
-2.052,-7.607,89.586
-2.283,-7.111,89.58
-2.7,-6.576,89.381
-3.086,-6.203,89.181
-3.444,-5.845,89.093
-3.483,-5.525,89.064
-3.731,-5.178,89.249
-3.9,-4.791,89.429
-4.022,-4.545,89.603
-4.038,-4.372,89.764
-4.409,-4.336,89.891
-4.306,-4.764,90.032
-3.857,-5.309,90.123
-3.757,-6.009,90.305
-2.934,-6.605,90.61
-1.983,-6.91,90.838
-1.526,-7.439,90.849
-0.871,-8.018,90.655
-0.524,-8.389,90.44
-0.367,-8.816,90.479
-0.529,-9.266,90.373
-0.572,-9.726,90.348
-1.21,-9.847,90.388
-1.235,-9.909,90.549
-2.05,-9.925,90.638
-2.496,-9.78,90.709
-2.798,-9.509,90.772
-3.127,-8.889,90.799
-3.313,-7.807,90.664
-3.193,-7.394,90.532
-3.07,-7.063,90.601
-2.915,-6.507,90.691
-2.87,-6.211,90.73
-1.675,-6.053,90.372
-0.965,-6.246,90.057
-0.22,-6.736,89.607
0.528,-7.083,89.433
1.379,-7.673,88.939
2.873,-9.11,88.56
5.029,-11.687,88.366
6.884,-14.066,88.295
7.077,-15.853,88.331
7.533,-16.903,88.307
7.552,-17.895,88.395
7.469,-18.515,88.545
7.292,-18.797,88.679
7.239,-18.812,88.754
6.447,-18.276,89.09
6.402,-17.64,89.245
6.387,-16.696,89.307
6.371,-16.629,89.307
6.057,-14.904,89.878
5.936,-14.274,90.175
5.709,-13.705,90.381
5.377,-13.02,90.475
5.214,-12.054,90.565
4.995,-11.177,90.328
4.774,-10.68,90.146
4.159,-10.413,89.86
3.416,-10.125,89.483
3.044,-9.695,89.278
2.82,-8.904,89.106
2.74,-8.045,88.733
2.66,-7.334,88.569
2.658,-6.898,88.332
2.811,-6.547,88.344
3.072,-6.322,88.421
3.101,-6.257,88.43
3.545,-6.397,88.413
3.579,-6.413,88.413
3.235,-7.484,88.002
3.18,-7.54,87.99
2.24,-8.939,87.982
1.675,-9.356,88.103
1.029,-9.537,88.39
0.265,-9.72,88.625
-0.471,-9.921,88.905
-1.209,-10.196,89.116
-1.721,-10.447,89.094
-2.23,-10.83,89.026
-2.681,-11.267,89.152
-3.127,-11.791,89.179
-3.633,-12.352,89.521
-3.71,-12.717,89.743
-4.411,-13.225,89.882
-4.633,-13.77,89.705
-4.701,-14.139,89.466
-4.562,-14.369,89.266
-4.168,-14.252,89.183
-3.905,-14.081,89.234
-3.708,-13.687,89.352
-3.624,-13.268,89.399
-3.869,-12.799,89.683
-4.451,-12.315,90.013
-5.478,-11.638,90.427
-5.886,-11.563,90.693
-6.156,-11.46,90.773
-6.179,-11.34,90.812
-6.289,-11.479,90.884
-6.61,-11.769,90.917
-7.067,-12.007,90.993
-7.234,-12.017,90.812
-7.357,-12.163,90.687
-7.466,-12.155,90.715
-7.248,-12.051,90.856
-6.426,-11.944,90.839
-5.692,-12.013,90.859
-5.56,-12.081,91.018
-5.454,-12.204,91.135
-5.212,-12.447,91.167
-4.921,-12.603,91.179
-4.545,-12.937,91.15
-4.325,-13.102,91.189
-4.427,-13.143,91.286
-4.415,-13.075,91.316
-4.6,-13.29,91.279
-5.09,-13.527,91.006
-5.317,-13.408,90.753
-5.342,-13.011,90.467
-5.373,-12.421,90.165
-5.374,-11.732,89.927
-5.362,-11.068,89.855
-5.439,-10.469,89.909
-5.465,-9.977,89.868
-5.248,-9.472,89.949
-4.995,-9.234,90.051
-4.741,-9.211,90.069
-4.602,-9.602,90.186
-4.74,-10.113,90.117
-4.778,-10.779,90.145
-4.759,-11.334,90.014
-4.701,-11.931,89.99
-4.632,-12.708,89.883
-4.375,-13.454,89.725
-3.888,-13.823,89.569
-3.134,-14.055,89.453
-2.431,-14.191,89.351
-1.545,-14.346,89.167
-0.607,-14.483,88.968
0.264,-14.56,88.931
1.302,-14.625,89.093
2.369,-14.699,89.043
2.529,-14.872,89.155
4.066,-15.182,88.958
4.748,-15.56,88.84
4.86,-16.138,88.529
6.134,-16.542,88.221
6.778,-17.15,87.933
6.851,-17.462,87.711
6.947,-17.793,87.616
6.95,-17.872,87.756
6.692,-18.047,87.917
6.191,-18.26,88.17
5.457,-18.421,88.445
4.873,-18.396,88.698
4.089,-18.382,88.8
3.086,-18.413,88.955
2.101,-18.59,89.032
0.927,-18.73,89.058
0.002,-18.739,89.027
-1.013,-18.896,89.227
-1.62,-19.032,89.444
-2.049,-19.21,89.781
-2.453,-19.722,89.778
-2.794,-20.272,89.881
-2.992,-20.807,90.053
-2.917,-21.062,90.135
-2.676,-21.315,90.221
-2.307,-21.353,90.284
-2.022,-21.668,90.251
-1.838,-21.745,90.076
-1.998,-21.747,89.798
-2.169,-21.625,89.593
-2.362,-21.58,89.535
-2.398,-21.462,89.422
-2.418,-21.624,89.286
-2.106,-21.517,89.23
-1.301,-21.199,89.028
-0.709,-20.894,88.988
-0.18,-20.608,88.965
0.205,-20.338,88.916
0.757,-20.1,88.932
1.127,-19.576,89.126
1.355,-19.222,89.206
1.257,-18.91,88.97
0.649,-18.581,88.795
0.043,-18.166,88.592
-0.8,-17.588,88.121
-1.755,-17.221,87.78
-2.511,-16.76,87.571
-3.361,-15.767,87.587
-3.974,-14.652,87.825
-4.728,-13.505,88.184
-5.489,-12.612,88.398
-5.858,-12.138,88.554
-6.626,-10.952,88.925
-7.217,-9.8,89.435
-7.069,-9.332,89.601
-6.607,-9.039,89.755
-6.063,-8.604,90.04
-5.393,-8.394,90.121
-4.793,-8.339,90.21
-4.498,-8.4,90.401
-4.182,-8.646,90.551
-3.761,-8.997,90.723
-3.456,-9.461,90.943
-3.073,-9.78,90.992
-2.771,-10.127,90.892
-2.386,-10.455,90.796
-1.855,-11.066,90.643
-1.431,-11.696,90.467
-1.149,-11.934,90.405
-1.069,-11.765,90.705
-1.117,-11.674,90.871
-1.205,-11.434,91.11
-1.102,-11.236,91.213
-1.596,-11.186,91.442
-2.399,-11.121,91.398
-2.981,-10.987,91.271
-3.61,-10.941,90.926
-4.562,-10.751,90.564
-5.292,-10.683,90.08
-5.736,-10.732,89.83
-6.275,-10.471,89.606
-6.806,-10.373,89.585
-6.9,-10.228,89.655
-7.043,-10.346,89.664
-6.96,-10.713,89.759
-6.929,-10.713,89.759
-6.299,-12.073,89.991
-5.825,-14.013,90.207
-5.643,-16.019,90.486
-5.517,-17.38,90.538
-5.798,-17.93,90.673
-6.402,-18.477,90.701
-6.881,-18.944,90.792
-7.25,-19.139,90.816
-7.702,-19.44,90.876
-8.116,-19.502,90.728
-8.454,-19.561,90.545
-8.504,-19.686,90.473
-8.182,-19.463,90.511
-7.141,-19.111,90.595
-6.58,-18.709,90.702
-6.104,-18.016,90.579
-5.581,-17.266,90.425
-5.243,-16.06,90.29
-5.199,-13.832,90.064
