x,y,z
-4.017,-2.485,88.907
-4.323,-2.948,88.987
-4.561,-3.205,88.882
-4.63,-3.31,88.829
-4.588,-3.079,88.716
-4.696,-2.755,88.887
-4.913,-2.369,89.032
-4.954,-1.834,89.079
-5.069,-0.934,89.168
-5.285,0.119,89.308
-5.312,0.177,89.346
-5.749,1.274,89.189
-6.23,1.653,89.211
-6.812,1.781,89.147
-7.091,1.832,89.06
-7.258,1.935,88.941
-7.138,2.096,88.991
-6.717,2.246,89.033
-6.392,2.076,89.106
-5.981,1.722,89.125
-5.666,1.247,89.194
-5.585,0.38,89.22
-5.492,-0.689,88.983
-5.426,-1.356,88.807
-5.364,-1.75,88.872
-5.38,-2.02,88.974
-5.46,-2.366,88.985
-5.377,-2.616,88.854
-5.026,-2.857,89.009
-4.522,-2.754,88.91
-4.149,-2.516,88.91
-3.924,-2.0,88.985
-3.848,-1.106,88.996
-3.772,-0.221,88.896
-3.633,0.384,88.756
-3.622,1.087,88.658
-3.622,2.202,88.354
-3.775,2.28,88.354
-3.944,3.475,88.249
-4.136,4.217,88.445
-4.44,4.817,88.747
-5.035,5.302,88.978
-5.666,5.769,89.368
-6.24,6.043,89.771
-6.914,6.457,89.84
-7.756,6.711,89.969
-8.245,6.827,89.909
-8.509,7.029,89.796
-8.612,7.116,89.668
-8.661,7.325,89.603
-8.243,7.15,89.441
-8.184,7.119,89.441
-7.705,5.9,89.253
-7.432,4.896,89.143
-7.212,4.221,89.121
-6.912,3.589,89.319
-6.849,2.97,89.389
-6.792,2.287,89.448
-6.735,1.606,89.524
-6.728,0.858,89.543
-6.738,0.074,89.556
-6.593,-0.852,89.741
-6.37,-1.781,89.655
-6.065,-2.48,89.642
-5.477,-3.111,89.856
-4.333,-3.914,90.078
-3.261,-4.535,89.945
-2.926,-4.773,89.813
-2.537,-5.247,89.714
-2.246,-5.748,89.72
-2.037,-6.123,89.9
-1.989,-6.241,90.106
-2.276,-5.701,90.107
-2.471,-4.851,90.181
-2.674,-4.492,90.018
-3.175,-3.852,89.857
-3.845,-2.642,89.841
-4.194,-1.676,89.676
-4.376,-1.088,89.655
-4.691,-0.218,89.65
-5.121,0.883,89.531
-5.378,1.698,89.614
-5.662,2.566,89.651
-5.745,2.665,89.651
-5.745,2.665,89.651
-5.745,2.665,89.438
-6.147,5.143,89.263
-6.148,5.535,89.338
-5.862,5.835,89.558
-5.796,5.845,89.58
-4.999,5.695,89.384
-4.572,5.117,89.383
-4.337,4.327,89.324
-4.325,3.628,88.981
-4.304,2.972,88.896
-4.416,2.4,88.899
-4.82,1.853,88.978
-5.406,1.29,88.966
-6.032,0.699,89.167
-6.873,-0.087,89.274
-7.596,-0.666,89.239
-8.099,-1.199,89.548
-8.431,-1.647,89.654
-8.728,-2.028,89.873
-8.954,-2.381,89.966
-9.129,-2.552,89.886
-8.966,-2.291,89.674
-8.688,-1.96,89.712
-8.448,-1.801,89.992
-7.989,-1.824,89.893
-7.225,-1.659,89.882
-7.087,-1.493,89.973
-5.738,-1.464,90.029
-4.929,-1.422,89.929
-4.241,-1.441,89.912
-3.353,-1.5,90.021
-2.549,-1.64,90.101
-1.925,-1.987,90.15
-1.586,-2.455,90.04
-1.343,-3.152,89.955
-1.325,-3.196,89.955
-1.325,-3.196,89.955
-1.325,-3.196,89.955
-1.038,-5.769,90.058
-1.061,-6.309,90.007
-1.243,-6.907,89.972
-1.459,-7.282,89.728
-1.711,-7.397,89.193
-1.898,-7.43,88.8
-1.951,-7.546,88.516
-1.969,-7.499,88.313
-1.539,-7.209,88.196
-1.136,-6.754,88.328
-0.969,-6.204,88.673
-0.964,-5.466,88.848
-1.0,-4.915,89.241
-1.052,-4.24,89.376
-1.216,-3.523,89.376
-1.572,-2.981,89.243
-2.148,-2.531,89.318
-2.828,-2.429,89.41
-3.324,-2.437,89.629
-3.36,-2.511,89.616
-3.733,-2.819,89.536
-4.08,-3.121,89.337
-4.266,-3.449,89.357
-4.383,-3.821,89.378
-4.321,-4.339,89.46
-4.382,-4.586,89.696
-4.22,-4.577,89.71
-3.973,-4.437,89.855
-3.984,-4.06,89.858
-3.977,-3.679,89.826
-4.175,-3.679,89.826
-5.419,-3.241,89.794
-5.942,-3.047,89.66
-6.188,-2.662,89.64
-6.499,-2.269,89.687
-6.893,-1.789,89.554
-7.037,-1.187,89.307
-7.108,-0.29,89.271
-7.117,0.179,89.456
-7.288,0.967,89.362
-7.283,1.64,89.208
-7.269,2.05,89.29
-7.08,2.267,89.081
-6.924,2.61,88.98
-6.589,2.9,89.025
-6.341,3.256,88.903
-6.066,3.39,88.89
-5.967,3.428,89.021
-6.148,3.48,89.25
-6.43,3.459,89.322
-6.709,3.189,89.479
-6.794,2.841,89.805
-6.846,2.383,90.173
-6.729,1.95,90.428
-6.579,1.577,90.335
-6.393,1.149,90.278
-6.271,0.381,90.227
-6.097,-0.387,90.37
-5.945,-0.692,90.206
-5.642,-1.077,90.145
-5.156,-1.241,89.993
-4.694,-1.305,89.883
-4.283,-1.288,89.974
-4.185,-1.184,90.169
-3.332,-0.954,90.447
-2.817,-0.473,90.469
-2.735,-0.243,90.445
-2.369,-0.224,90.478
-2.009,0.412,90.563
-2.009,0.881,90.5
-2.046,0.963,90.35
-2.168,0.571,90.278
-2.185,-0.207,90.295
-2.18,-1.01,90.272
-2.245,-1.719,90.307
-2.578,-2.638,90.374
-2.867,-3.229,90.477
-3.08,-3.721,90.237
-3.382,-4.085,90.287
-3.626,-4.262,90.145
-3.842,-4.201,90.024
-3.889,-3.727,89.804
-3.925,-3.383,89.702
-3.914,-2.965,89.513
-3.832,-2.479,89.54
-3.823,-1.651,89.414
-3.926,-0.711,89.014
-4.034,-0.238,88.62
-4.315,0.407,88.337
-4.907,1.232,88.156
-5.742,1.624,88.229
-6.354,1.826,88.506
-6.672,2.14,88.746
-7.101,2.248,88.927
-7.482,2.265,89.094
-7.505,2.265,89.219
-7.916,1.68,89.242
-8.207,1.181,89.254
-8.272,0.546,89.351
-8.487,-0.144,89.442
-8.554,-0.998,89.589
-8.563,-0.998,89.589
-8.478,-1.861,89.219
-8.065,-2.205,89.094
-7.709,-2.385,89.096
-7.302,-2.452,89.214
-6.739,-2.514,89.133
-6.134,-2.624,88.988
-5.692,-2.669,89.128
-5.216,-2.726,89.074
-4.602,-2.758,88.914
-3.81,-2.813,88.893
-3.697,-2.695,88.97
-2.846,-2.454,88.953
-2.538,-1.986,89.058
-2.225,-1.345,89.19
-2.152,-1.023,89.469
-2.064,-0.744,89.745
-1.816,-0.222,90.051
-1.709,0.153,89.908
-1.698,0.323,89.729
-1.592,0.266,89.745
-1.67,-0.131,89.827
-1.681,-0.456,89.943
-2.303,-0.742,90.024
-2.716,-1.111,89.899
-2.801,-1.362,89.688
-3.449,-1.59,89.607
-3.87,-1.768,89.367
-4.221,-1.824,89.227
-4.561,-1.83,89.179
-4.881,-1.697,89.211
-5.214,-1.621,89.138
-5.405,-1.625,89.064
-5.366,-1.636,89.096
-5.242,-1.4,89.224
-5.039,-0.867,89.415
-5.034,-0.211,89.637
-5.08,0.056,89.655
-5.049,0.099,89.651
-4.981,0.339,89.441
-4.677,0.233,89.076
-4.17,-0.129,89.051
-3.701,-0.544,89.1
-3.287,-0.923,89.22
-2.733,-1.291,89.451
-2.359,-1.761,89.421
-2.364,-2.22,89.579
-2.49,-2.526,89.929
-2.863,-2.525,90.23
-3.356,-2.278,90.337
-3.92,-1.812,90.532
-4.72,-1.33,90.557
-5.402,-0.679,90.489
-5.87,0.001,90.564
-6.049,0.745,90.631
-6.188,1.243,90.505
-6.397,1.602,90.268
-6.457,1.859,90.029
-6.07,1.898,89.966
-5.51,1.891,89.86
-4.971,1.925,89.717
-4.518,1.924,89.689
-4.245,1.849,89.881
-4.073,1.999,89.976
-3.626,2.317,90.098
-3.675,2.372,90.351
-4.11,2.295,90.286
-4.436,2.31,90.044
-4.759,2.253,89.781
-5.224,2.162,89.532
-5.741,1.967,89.551
-5.829,1.943,89.551
-6.694,1.34,89.802
-6.981,0.756,89.796
-7.014,0.191,89.76
-7.024,-0.322,89.882
-6.987,-0.918,89.94
-6.875,-1.638,89.894
-6.813,-2.235,89.902
-6.811,-2.796,90.24
-6.613,-3.106,90.368
-6.717,-3.284,90.416
-6.994,-3.281,90.313
-7.274,-2.981,90.262
-7.322,-2.504,90.098
-7.266,-2.115,90.219
-7.289,-1.67,90.151
-7.285,-1.306,90.268
-7.154,-0.846,90.06
-6.945,-0.16,90.252
-6.9,0.456,90.364
-6.782,0.818,90.652
-6.708,1.251,90.749
-6.699,1.251,90.903
-6.322,1.715,90.979
-6.235,1.759,90.757
-5.373,1.673,90.752
-5.064,1.489,90.614
-4.695,1.285,90.362
-4.64,0.954,90.051
-4.133,0.358,89.958
-4.124,-0.116,89.767
-4.464,-0.585,89.678
-4.508,-0.656,89.455
-4.926,-1.114,89.334
-5.253,-1.434,89.298
-5.644,-1.808,89.245
-5.987,-2.215,89.15
-6.019,-2.255,88.993
-5.944,-3.047,89.145
-5.784,-3.328,89.164
-5.612,-3.595,89.065
-5.566,-3.269,88.799
-5.429,-2.702,88.733
-5.339,-2.371,88.704
-5.145,-2.04,88.835
-4.956,-1.838,88.984
-4.733,-1.381,89.277
-4.577,-1.058,89.758
-4.531,-0.866,90.201
-4.587,-0.842,90.201
-4.587,-0.489,90.568
-5.81,-0.374,90.478
-6.333,-0.119,90.275
-6.495,0.141,90.021
-6.785,0.286,89.577
